PE_chromosome	PE_start	PE_end	PE_identifier	Cassette_Yan_2015_Class	gene_symbol	alt_gene_list	element_chromosome	element_start	element_end	element_identifier	MIM_number	MIM_phenotypes	SFARI_genetic_category	SFARI_gene_score	SFARI_syndromic
chr1	16450124	16450240	PE_1_of_1_in_NM_018090.5_intron_4_0_chr1_16449202_f	NMD_in	NECAP2	NECAP2	chr1	16449201	16451837	NM_018090.5_intron_4_0_chr1_16449202_f	611624	NA	NA	NA	NA
chr1	19139797	19139879	PE_1_of_1_in_NM_020765.3_intron_47_0_chr1_19139221_r	NMD_in	UBR4	UBR4, ZUBR1, RBAF600, KIAA1307	chr1	19139220	19140787	NM_020765.3_intron_47_0_chr1_19139221_r	609890	NA	NA	NA	NA
chr1	19484189	19484332	PE_1_of_1_in_NM_004930.5_intron_7_0_chr1_19419751_r	NMD_in	CAPZB	CAPZB, CAPPB	chr1	19419750	19485435	NM_004930.5_intron_7_0_chr1_19419751_r	601572	NA	NA	NA	NA
chr1	19747477	19747490	PE_1_of_1_in_NM_181719.7_intron_8_0_chr1_19747261_r	NMD_in	TMCO4	NA	chr1	19747260	19755633	NM_181719.7_intron_8_0_chr1_19747261_r	NA	NA	NA	NA	NA
chr1	19778653	19778830	PE_1_of_1_in_NM_181719.7_intron_11_0_chr1_19771483_r	NMD_in	TMCO4	NA	chr1	19771482	19780579	NM_181719.7_intron_11_0_chr1_19771483_r	NA	NA	NA	NA	NA
chr1	20941258	20941394	PE_1_of_1_in_NM_001391906.1_intron_22_0_chr1_20904972_r	NMD_in	EIF4G3	EIF4G3, EIF4GII	chr1	20904971	20941490	NM_001391906.1_intron_22_0_chr1_20904972_r	603929	NA	NA	NA	NA
chr1	21725342	21725393	PE_1_of_1_in_NM_032236.8_intron_15_0_chr1_21724096_r	NMD_in	USP48	USP48, USP31	chr1	21724095	21728569	NM_032236.8_intron_15_0_chr1_21724096_r	617445	NA	NA	NA	NA
chr1	24647078	24647207	PE_1_of_1_in_NM_005839.4_intron_2_0_chr1_24646790_f	NMD_in	SRRM1	SRRM1, SRM160	chr1	24646789	24648858	NM_005839.4_intron_2_0_chr1_24646790_f	605975	NA	NA	NA	NA
chr1	24654305	24654342	PE_1_of_1_in_NM_005839.4_intron_7_0_chr1_24653033_f	NMD_in	SRRM1	SRRM1, SRM160	chr1	24653032	24654854	NM_005839.4_intron_7_0_chr1_24653033_f	605975	NA	NA	NA	NA
chr1	25244453	25244497	PE_1_of_1_in_NM_020317.5_intron_1_0_chr1_25243634_r	NMD_in	RSRP1	NA	chr1	25243633	25245149	NM_020317.5_intron_1_0_chr1_25243634_r	NA	NA	NA	NA	NA
chr1	25447874	25448181	PE_1_of_1_in_NM_018202.6_intron_1_0_chr1_25446904_f	NMD_in	MACO1	TMEM57, FLJ10747	chr1	25446903	25448807	NM_018202.6_intron_1_0_chr1_25446904_f	610301	NA	NA	NA	NA
chr1	27330984	27331136	PE_1_of_1_in_NM_032125.3_intron_1_0_chr1_27330805_f	NMD_in	TMEM222	TMEM222, C1orf160, NEDMOSBA	chr1	27330804	27332069	NM_032125.3_intron_1_0_chr1_27330805_f	619469	Neurodevelopmental disorder with motor and speech delay and behavioral abnormalities, 619470 (3), Autosomal recessive	NA	NA	NA
chr1	27786590	27786796	PE_1_of_1_in_NM_177424.3_intron_0_0_chr1_27773426_f	NMD_in	STX12	STX12, STX13	chr1	27773425	27789561	NM_177424.3_intron_0_0_chr1_27773426_f	606892	NA	NA	NA	NA
chr1	27998283	27998350	PE_1_of_1_in_NM_001990.4_intron_5_0_chr1_27997379_r	NMD_in	EYA3	EYA3	chr1	27997378	27999959	NM_001990.4_intron_5_0_chr1_27997379_r	601655	NA	NA	NA	NA
chr1	28561112	28561259	PE_1_of_1_in_NM_017846.5_intron_2_0_chr1_28560733_f	NMD_in	TRNAU1AP	TRNAU1AP	chr1	28560732	28561345	NM_017846.5_intron_2_0_chr1_28560733_f	619597	NA	NA	NA	NA
chr1	28989355	28989438	PE_1_of_1_in_NM_001376013.1_intron_1_0_chr1_28987906_f	NMD_in	EPB41	EPB41, EL1	chr1	28987905	28993329	NM_001376013.1_intron_1_0_chr1_28987906_f	130500	Elliptocytosis-1, 611804 (3), Autosomal recessive, Autosomal dominant	NA	NA	NA
chr1	29166728	29166911	PE_1_of_1_in_NM_005626.5_intron_4_0_chr1_29160518_r	NMD_in	SRSF4	SRSF4, SFRS4, SRp75	chr1	29160517	29181645	NM_005626.5_intron_4_0_chr1_29160518_r	601940	NA	NA	NA	NA
chr1	29202617	29202666	PE_1_of_1_in_NM_016011.5_intron_4_0_chr1_29202046_r	NMD_in	MECR	MECR, NRBF1, DYTOABG	chr1	29202045	29203130	NM_016011.5_intron_4_0_chr1_29202046_r	608205	Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3), Autosomal recessive	NA	NA	NA
chr1	31184976	31185059	PE_1_of_1_in_NM_024522.3_intron_3_0_chr1_31184015_r	NMD_in	NKAIN1	NKAIN1	chr1	31184014	31185246	NM_024522.3_intron_3_0_chr1_31184015_r	612871	NA	NA	NA	NA
chr1	31620678	31620693	PE_1_of_1_in_NM_001525.3_intron_3_0_chr1_31619711_f	NMD_in	HCRTR1	HCRTR1, OX1R	chr1	31619710	31620842	NM_001525.3_intron_3_0_chr1_31619711_f	602392	NA	NA	NA	NA
chr1	32076563	32076645	PE_1_of_1_in_NM_018056.4_intron_2_0_chr1_32075823_f	NMD_in	TMEM39B	NA	chr1	32075822	32076762	NM_018056.4_intron_2_0_chr1_32075823_f	NA	NA	Rare Single Gene Mutation	2	0
chr1	33272503	33272552	PE_1_of_1_in_NM_152493.3_intron_1_0_chr1_33270613_f	NMD_in	ZNF362	NA	chr1	33270612	33276099	NM_152493.3_intron_1_0_chr1_33270613_f	NA	NA	NA	NA	NA
chr1	35099350	35099446	PE_1_of_1_in_NM_024772.5_intron_3_0_chr1_35097567_f	NMD_in	ZMYM1	NA	chr1	35097566	35104294	NM_024772.5_intron_3_0_chr1_35097567_f	NA	NA	NA	NA	NA
chr1	35368253	35368366	PE_1_of_1_in_NM_005095.3_intron_4_0_chr1_35361790_f	NMD_in	ZMYM4	ZMYM4, ZNF262, KIAA0425	chr1	35361789	35370028	NM_005095.3_intron_4_0_chr1_35361790_f	613568	NA	NA	NA	NA
chr1	35559806	35559863	PE_1_of_1_in_NM_014284.3_intron_1_0_chr1_35559248_f	NMD_in	NCDN	NCDN, KIAA0607, NEDIES	chr1	35559247	35560325	NM_014284.3_intron_1_0_chr1_35559248_f	608458	Neurodevelopmental disorder with infantile epileptic spasms, 619373 (3), Autosomal dominant	NA	NA	NA
chr1	35616078	35616234	PE_1_of_1_in_NM_002794.5_intron_2_0_chr1_35609409_r	NMD_in	PSMB2	PSMB2	chr1	35609408	35631273	NM_002794.5_intron_2_0_chr1_35609409_r	602175	NA	NA	NA	NA
chr1	35982620	35982711	PE_1_of_1_in_NM_024852.4_intron_4_0_chr1_35973512_f	NMD_in	AGO3	AGO3, EIF2C3	chr1	35973511	36004340	NM_024852.4_intron_4_0_chr1_35973512_f	607355	NA	Rare Single Gene Mutation	2	0
chr1	36005718	36005857	PE_1_of_1_in_NM_024852.4_intron_5_0_chr1_36004476_f	NMD_in	AGO3	AGO3, EIF2C3	chr1	36004475	36008689	NM_024852.4_intron_5_0_chr1_36004476_f	607355	NA	Rare Single Gene Mutation	2	0
chr1	36284087	36284304	PE_1_of_1_in_NM_005119.4_intron_2_0_chr1_36282701_f	NMD_in	THRAP3	THRAP3, TRAP150	chr1	36282700	36286367	NM_005119.4_intron_2_0_chr1_36282701_f	603809	NA	NA	NA	NA
chr1	36288548	36288756	PE_1_of_1_in_NM_005119.4_intron_3_0_chr1_36287271_f	NMD_in	THRAP3	THRAP3, TRAP150	chr1	36287270	36289059	NM_005119.4_intron_3_0_chr1_36287271_f	603809	NA	NA	NA	NA
chr1	36294049	36294240	PE_1_of_1_in_NM_005119.4_intron_7_0_chr1_36293936_f	NMD_in	THRAP3	THRAP3, TRAP150	chr1	36293935	36296582	NM_005119.4_intron_7_0_chr1_36293936_f	603809	NA	NA	NA	NA
chr1	37496546	37496603	PE_1_of_1_in_NM_001270875.3_intron_1_0_chr1_37495919_r	NMD_in	MEAF6	MEAF6, C1orf149, EAF6	chr1	37495918	37501803	NM_001270875.3_intron_1_0_chr1_37495919_r	611001	NA	NA	NA	NA
chr1	37864553	37864691	PE_1_of_1_in_NM_005540.3_intron_1_0_chr1_37864424_r	NMD_in	INPP5B	INPP5B	chr1	37864423	37865760	NM_005540.3_intron_1_0_chr1_37864424_r	147264	NA	NA	NA	NA
chr1	39328600	39328705	PE_1_of_1_in_NM_001394062.1_intron_35_0_chr1_39327354_f	NMD_in	MACF1	MACF1, ACF7, KIAA1251, LIS9	chr1	39327353	39331202	NM_001394062.1_intron_35_0_chr1_39327354_f	608271	Lissencephaly 9 with complex brainstem malformation, 618325 (3), Autosomal dominant	NA	NA	NA
chr1	41152598	41152740	PE_1_of_1_in_NM_001394311.1_intron_11_0_chr1_41151685_r	NMD_in	SCMH1	SCMH1	chr1	41151684	41160874	NM_001394311.1_intron_11_0_chr1_41151685_r	616396	NA	NA	NA	NA
chr1	42396439	42396499	PE_1_of_1_in_NM_173642.4_intron_0_0_chr1_42381098_f	NMD_in	RIMKLA	RIMKLA, NAAGS2	chr1	42381097	42399403	NM_173642.4_intron_0_0_chr1_42381098_f	618949	NA	NA	NA	NA
chr1	42756400	42756454	PE_1_of_1_in_NM_022356.4_intron_9_0_chr1_42755638_r	NMD_in	P3H1	P3H1, LEPRE1, GROS1, OI8	chr1	42755637	42757782	NM_022356.4_intron_9_0_chr1_42755638_r	610339	Osteogenesis imperfecta, type VIII, 610915 (3), Autosomal recessive	NA	NA	NA
chr1	42949504	42949634	PE_1_of_1_in_NM_006516.4_intron_8_0_chr1_42943322_r	NMD_in	SLC2A1	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN	chr1	42943321	42958633	NM_006516.4_intron_8_0_chr1_42943322_r	138140	Dystonia 9, 601042 (3), Autosomal dominant; GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (3), Autosomal recessive, Autosomal dominant; Stomatin-deficient cryohydrocytosis with neurologic defects, 608885 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, susceptibility to, 12}, 614847 (3), Autosomal dominant; GLUT1 deficiency syndrome 2, childhood onset, 612126 (3), Autosomal dominant	NA	NA	NA
chr1	43416719	43416782	PE_1_of_1_in_NM_001365999.1_intron_6_0_chr1_43416642_f	NMD_in	SZT2	SZT2, KIAA0467, DEE18	chr1	43416641	43419733	NM_001365999.1_intron_6_0_chr1_43416642_f	615463	Developmental and epileptic encephalopathy 18, 615476 (3), Autosomal recessive	NA	NA	NA
chr1	43690625	43690684	PE_1_of_1_in_NM_014663.3_intron_12_0_chr1_43689096_f	NMD_in	KDM4A	KDM4A, JMJD2A, JHDM3A, KIAA0677	chr1	43689095	43690844	NM_014663.3_intron_12_0_chr1_43689096_f	609764	NA	NA	NA	NA
chr1	44236885	44237008	PE_1_of_1_in_NM_024066.3_intron_0_0_chr1_44221641_r	NMD_in	ERI3	PRNPIP, PINT1	chr1	44221640	44247938	NM_024066.3_intron_0_0_chr1_44221641_r	609917	NA	NA	NA	NA
chr1	44314289	44314483	PE_1_of_1_in_NM_024066.3_intron_4_0_chr1_44313229_r	NMD_in	ERI3	PRNPIP, PINT1	chr1	44313228	44319627	NM_024066.3_intron_4_0_chr1_44313229_r	609917	NA	NA	NA	NA
chr1	44632754	44632894	PE_1_of_1_in_NM_018150.4_intron_5_0_chr1_44632386_f	NMD_in	RNF220	RNF220, HLD23	chr1	44632385	44635544	NM_018150.4_intron_5_0_chr1_44632386_f	616136	Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy, 619688 (3), Autosomal recessive	NA	NA	NA
chr1	44643746	44643892	PE_1_of_1_in_NM_018150.4_intron_7_0_chr1_44636163_f	NMD_in	RNF220	RNF220, HLD23	chr1	44636162	44644697	NM_018150.4_intron_7_0_chr1_44636163_f	616136	Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy, 619688 (3), Autosomal recessive	NA	NA	NA
chr1	44673649	44673740	PE_1_of_1_in_NM_024587.4_intron_1_0_chr1_44660296_r	NMD_in	TMEM53	TMEM53, NET4, CTDI	chr1	44660295	44674330	NM_024587.4_intron_1_0_chr1_44660296_r	619722	Craniotubular dysplasia, Ikegawa type, 619727 (3), Autosomal recessive	NA	NA	NA
chr1	46349976	46350099	PE_1_of_1_in_NM_199044.4_intron_2_0_chr1_46347076_f	NMD_in	NSUN4	NSUN4	chr1	46347075	46352867	NM_199044.4_intron_2_0_chr1_46347076_f	615394	NA	NA	NA	NA
chr1	47995190	47995340	PE_1_of_1_in_NM_001194986.2_intron_5_0_chr1_47994598_r	NMD_in	TRABD2B	TRABD2B, TIKI2	chr1	47994597	47996687	NM_001194986.2_intron_5_0_chr1_47994598_r	614913	NA	NA	NA	NA
chr1	50611833	50611871	PE_1_of_1_in_NM_007051.3_intron_10_0_chr1_50596217_r	NMD_in	FAF1	FAF1, HFAF1	chr1	50596216	50655441	NM_007051.3_intron_10_0_chr1_50596217_r	604460	NA	NA	NA	NA
chr1	50857548	50857669	PE_1_of_1_in_NM_007051.3_intron_16_0_chr1_50801678_r	NMD_in	FAF1	FAF1, HFAF1	chr1	50801677	50857928	NM_007051.3_intron_16_0_chr1_50801678_r	604460	NA	NA	NA	NA
chr1	51420624	51420826	PE_1_of_1_in_NM_001981.3_intron_11_0_chr1_51409697_r	NMD_in	EPS15	EPS15	chr1	51409696	51421785	NM_001981.3_intron_11_0_chr1_51409697_r	600051	NA	NA	NA	NA
chr1	51442816	51442898	PE_1_of_1_in_NM_001981.3_intron_13_0_chr1_51440433_r	NMD_in	EPS15	EPS15	chr1	51440432	51444888	NM_001981.3_intron_13_0_chr1_51440433_r	600051	NA	NA	NA	NA
chr1	51824645	51824792	PE_1_of_1_in_NM_001101662.2_intron_24_0_chr1_51823787_r	NMD_in	NRDC	NRD1	chr1	51823786	51825286	NM_001101662.2_intron_24_0_chr1_51823787_r	602651	NA	NA	NA	NA
chr1	51836368	51836437	PE_1_of_1_in_NM_001101662.2_intron_28_0_chr1_51836213_r	NMD_in	NRDC	NRD1	chr1	51836212	51840225	NM_001101662.2_intron_28_0_chr1_51836213_r	602651	NA	NA	NA	NA
chr1	52361696	52361948	PE_1_of_1_in_NM_001330585.2_intron_21_0_chr1_52361617_r	NMD_in	CC2D1B	NA	chr1	52361616	52362601	NM_001330585.2_intron_21_0_chr1_52361617_r	NA	NA	NA	NA	NA
chr1	52449902	52450059	PE_1_of_1_in_NM_001009881.3_intron_9_0_chr1_52446668_r	NMD_in	TUT4	TUT4, ZCCHC11, KIAA0191	chr1	52446667	52458335	NM_001009881.3_intron_9_0_chr1_52446668_r	613692	NA	NA	NA	NA
chr1	53526159	53526352	PE_1_of_1_in_NM_001367484.1_intron_5_0_chr1_53524888_r	NMD_in	GLIS1	GLIS1	chr1	53524887	53529790	NM_001367484.1_intron_5_0_chr1_53524888_r	610378	NA	Rare Single Gene Mutation, Genetic Association	2	0
chr1	54363271	54363375	PE_1_of_1_in_NM_001009955.4_intron_12_0_chr1_54281528_r	NMD_in	SSBP3	SSBP3	chr1	54281527	54401860	NM_001009955.4_intron_12_0_chr1_54281528_r	607390	NA	NA	NA	NA
chr1	54722310	54722361	PE_1_of_1_in_NM_004623.5_intron_3_0_chr1_54721241_f	NMD_in	TTC4	TTC4	chr1	54721240	54722674	NM_004623.5_intron_3_0_chr1_54721241_f	606753	NA	NA	NA	NA
chr1	55084392	55084420	PE_1_of_1_in_NM_015306.3_intron_11_0_chr1_55083889_r	NMD_in	USP24	USP24, KIAA1057	chr1	55083888	55085941	NM_015306.3_intron_11_0_chr1_55083889_r	610569	NA	NA	NA	NA
chr1	55151911	55151974	PE_1_of_1_in_NM_015306.3_intron_51_0_chr1_55148571_r	NMD_in	USP24	USP24, KIAA1057	chr1	55148570	55153869	NM_015306.3_intron_51_0_chr1_55148571_r	610569	NA	NA	NA	NA
chr1	58515743	58515831	PE_1_of_1_in_NM_145243.5_intron_1_0_chr1_58506210_r	NMD_in	OMA1	OMA1, MPRP1	chr1	58506209	58527260	NM_145243.5_intron_1_0_chr1_58506210_r	617081	NA	NA	NA	NA
chr1	59503255	59503565	PE_1_of_1_in_NM_018291.5_intron_5_0_chr1_59457077_f	NMD_in	FGGY	FGGY, FLJ10986	chr1	59457076	59512310	NM_018291.5_intron_5_0_chr1_59457077_f	611370	NA	NA	NA	NA
chr1	59749090	59749217	PE_1_of_1_in_NM_018291.5_intron_13_0_chr1_59674134_f	NMD_in	FGGY	FGGY, FLJ10986	chr1	59674133	59757930	NM_018291.5_intron_13_0_chr1_59674134_f	611370	NA	NA	NA	NA
chr1	59863825	59863868	PE_1_of_1_in_NM_015888.6_intron_15_0_chr1_59862878_f	NMD_in	HOOK1	HOOK1, HK1	chr1	59862877	59864631	NM_015888.6_intron_15_0_chr1_59862878_f	607820	NA	NA	NA	NA
chr1	61833358	61833377	PE_1_of_1_in_NM_001350145.3_intron_15_0_chr1_61827584_f	NMD_in	PATJ	PATJ, INADL	chr1	61827583	61833653	NM_001350145.3_intron_15_0_chr1_61827584_f	603199	NA	Rare Single Gene Mutation, Genetic Association	2	0
chr1	64780288	64780322	PE_1_of_1_in_NM_001366165.2_intron_2_0_chr1_64778093_f	NMD_in	RAVER2	RAVER2, KIAA1579	chr1	64778092	64781379	NM_001366165.2_intron_2_0_chr1_64778093_f	609953	NA	NA	NA	NA
chr1	64879267	64879369	PE_1_of_1_in_NM_002227.4_intron_21_0_chr1_64879149_r	NMD_in	JAK1	JAK1, AIIDE	chr1	64879148	64883276	NM_002227.4_intron_21_0_chr1_64879149_r	147795	Autoinflammation, immune dysregulation, and eosinophilia, 618999 (3), Autosomal dominant	NA	NA	NA
chr1	66642489	66642556	PE_1_of_1_in_NM_032291.4_intron_4_0_chr1_66639834_f	NMD_in	SGIP1	SGIP1	chr1	66639833	66642809	NM_032291.4_intron_4_0_chr1_66639834_f	611540	NA	NA	NA	NA
chr1	69873466	69873608	PE_1_of_1_in_NM_001370785.2_intron_6_0_chr1_69838284_f	NMD_in	LRRC7	LRRC7, DENSIN, KIAA1365	chr1	69838283	69931506	NM_001370785.2_intron_6_0_chr1_69838284_f	614453	NA	NA	NA	NA
chr1	70023675	70023930	PE_1_of_1_in_NM_001370785.2_intron_16_0_chr1_70023375_f	NMD_in	LRRC7	LRRC7, DENSIN, KIAA1365	chr1	70023374	70028170	NM_001370785.2_intron_16_0_chr1_70023375_f	614453	NA	NA	NA	NA
chr1	70293503	70293619	PE_1_of_1_in_NM_030816.5_intron_4_0_chr1_70292550_r	NMD_in	ANKRD13C	ANKRD13C	chr1	70292549	70296129	NM_030816.5_intron_4_0_chr1_70292550_r	615125	NA	NA	NA	NA
chr1	75790151	75790273	PE_1_of_1_in_NM_004582.4_intron_3_0_chr1_75790058_f	NMD_in	RABGGTB	RABGGTB	chr1	75790057	75791284	NM_004582.4_intron_3_0_chr1_75790058_f	179080	NA	NA	NA	NA
chr1	77714284	77714463	PE_1_of_1_in_NM_201624.3_intron_4_0_chr1_77713282_r	NMD_in	USP33	USP33, VDU1	chr1	77713281	77714613	NM_201624.3_intron_4_0_chr1_77713282_r	615146	NA	NA	NA	NA
chr1	85258934	85259060	PE_1_of_1_in_NM_198077.4_intron_1_0_chr1_85258723_r	NMD_in	C1orf52	NA	chr1	85258722	85259357	NM_198077.4_intron_1_0_chr1_85258723_r	NA	NA	NA	NA	NA
chr1	85659537	85659735	PE_1_of_2_in_NM_017953.4_intron_1_0_chr1_85657972_r	NMD_in	ZNHIT6	NA	chr1	85657971	85677235	NM_017953.4_intron_1_0_chr1_85657972_r	NA	NA	NA	NA	NA
chr1	85659802	85659992	PE_2_of_2_in_NM_017953.4_intron_1_0_chr1_85657972_r	NMD_in	ZNHIT6	NA	chr1	85657971	85677235	NM_017953.4_intron_1_0_chr1_85657972_r	NA	NA	NA	NA	NA
chr1	89268253	89268284	PE_1_of_1_in_NM_052942.5_intron_7_0_chr1_89267527_r	NMD_in	GBP5	GBP5	chr1	89267526	89268728	NM_052942.5_intron_7_0_chr1_89267527_r	611467	NA	NA	NA	NA
chr1	91514280	91514488	PE_1_of_1_in_NM_003503.4_intron_7_0_chr1_91514044_f	NMD_in	CDC7	CDC7, CDC7L1	chr1	91514043	91514818	NM_003503.4_intron_7_0_chr1_91514044_f	603311	NA	NA	NA	NA
chr1	92691274	92691375	PE_1_of_1_in_NM_001350197.2_intron_10_0_chr1_92677219_r	NMD_in	EVI5	EVI5, NB4S	chr1	92677218	92693801	NM_001350197.2_intron_10_0_chr1_92677219_r	602942	NA	NA	NA	NA
chr1	92713997	92714022	PE_1_of_1_in_NM_001350197.2_intron_17_0_chr1_92704745_r	NMD_in	EVI5	EVI5, NB4S	chr1	92704744	92736397	NM_001350197.2_intron_17_0_chr1_92704745_r	602942	NA	NA	NA	NA
chr1	94031185	94031255	PE_1_of_1_in_NM_000350.3_intron_22_0_chr1_94031121_r	NMD_in	ABCA4	ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2	chr1	94031120	94031777	NM_000350.3_intron_22_0_chr1_94031121_r	601691	Retinal dystrophy, early-onset severe, 248200 (3), Autosomal recessive; Retinitis pigmentosa 19, 601718 (3), Autosomal recessive; {Macular degeneration, age-related, 2}, 153800 (3), Autosomal dominant; Cone-rod dystrophy 3, 604116 (3), Autosomal recessive; Fundus flavimaculatus, 248200 (3), Autosomal recessive; Stargardt disease 1, 248200 (3), Autosomal recessive	NA	NA	NA
chr1	99264817	99264918	PE_1_of_1_in_NM_014839.5_intron_0_0_chr1_99264672_f	NMD_in	PLPPR4	PLPPR4, LPPR4, PRG1, KIAA0455	chr1	99264671	99287964	NM_014839.5_intron_0_0_chr1_99264672_f	607813	NA	NA	NA	NA
chr1	99664602	99664676	PE_1_of_1_in_NM_017734.5_intron_1_0_chr1_99662400_f	NMD_in	PALMD	PALMD, PALML	chr1	99662399	99667641	NM_017734.5_intron_1_0_chr1_99662400_f	610182	NA	NA	NA	NA
chr1	99865947	99865986	PE_1_of_1_in_NM_000642.3_intron_4_0_chr1_99864590_f	NMD_in	AGL	AGL, GDE	chr1	99864589	99870399	NM_000642.3_intron_4_0_chr1_99864590_f	610860	Glycogen storage disease IIIa, 232400 (3), Autosomal recessive; Glycogen storage disease IIIb, 232400 (3), Autosomal recessive	NA	NA	NA
chr1	100124287	100124355	PE_1_of_1_in_NM_194292.3_intron_14_0_chr1_100123290_r	NMD_in	SASS6	SASS6, SAS6, MCPH14	chr1	100123289	100125881	NM_194292.3_intron_14_0_chr1_100123290_r	609321	Microcephaly 14, primary, autosomal recessive, 616402 (3), Autosomal recessive	NA	NA	NA
chr1	100919086	100919168	PE_1_of_1_in_NM_133496.5_intron_6_0_chr1_100918128_f	NMD_in	SLC30A7	SLC30A7, ZNT7	chr1	100918127	100921705	NM_133496.5_intron_6_0_chr1_100918128_f	611149	NA	NA	NA	NA
chr1	100960371	100960465	PE_1_of_1_in_NM_133496.5_intron_7_0_chr1_100921842_f	NMD_in	SLC30A7	SLC30A7, ZNT7	chr1	100921841	100961827	NM_133496.5_intron_7_0_chr1_100921842_f	611149	NA	NA	NA	NA
chr1	102979596	102979611	PE_1_of_1_in_NM_001854.4_intron_35_0_chr1_102979436_r	NMD_in	COL11A1	COL11A1, STL2, DFNA37	chr1	102979435	102984137	NM_001854.4_intron_35_0_chr1_102979436_r	120280	Fibrochondrogenesis 1, 228520 (3), Autosomal recessive; Stickler syndrome, type II, 604841 (3), Autosomal dominant; Marshall syndrome, 154780 (3), Autosomal dominant; Deafness, autosomal dominant 37, 618533 (3), Autosomal dominant; {Lumbar disc herniation, susceptibility to}, 603932 (3)	NA	NA	NA
chr1	108693589	108693641	PE_1_of_1_in_NM_018061.4_intron_0_0_chr1_108692868_f	NMD_in	PRPF38B	NA	chr1	108692867	108695701	NM_018061.4_intron_0_0_chr1_108692868_f	NA	NA	NA	NA	NA
chr1	108697809	108697862	PE_1_of_2_in_NM_018061.4_intron_3_0_chr1_108696338_f	NMD_in	PRPF38B	NA	chr1	108696337	108698603	NM_018061.4_intron_3_0_chr1_108696338_f	NA	NA	NA	NA	NA
