chrom_PE	start_PE	stop_PE	ID	gene	chrom_region	start_region	stop_region	MIM.Number	total_gene_name	Phenotypes	genetic.category	gene.score	syndromic
chr1	36294049	36294240	NMD_in	THRAP3	chr1	36293935	36296582	603809	THRAP3, TRAP150	NA	NA	NA	NA
chr1	37496546	37496603	NMD_in	MEAF6	chr1	37495918	37501803	611001	MEAF6, C1orf149, EAF6	NA	NA	NA	NA
chr1	37864553	37864691	NMD_in	INPP5B	chr1	37864423	37865760	147264	INPP5B	NA	NA	NA	NA
chr1	39328600	39328705	NMD_in	MACF1	chr1	39327353	39331202	608271	MACF1, ACF7, KIAA1251, LIS9	Lissencephaly 9 with complex brainstem malformation, 618325 (3), Autosomal dominant	NA	NA	NA
chr1	41152598	41152740	NMD_in	SCMH1	chr1	41151684	41160874	616396	SCMH1	NA	NA	NA	NA
chr1	42396439	42396499	NMD_in	RIMKLA	chr1	42381097	42399403	618949	RIMKLA, NAAGS2	NA	NA	NA	NA
chr1	42756400	42756454	NMD_in	P3H1	chr1	42755637	42757782	610339	P3H1, LEPRE1, GROS1, OI8	Osteogenesis imperfecta, type VIII, 610915 (3), Autosomal recessive	NA	NA	NA
chr1	42949504	42949634	NMD_in	SLC2A1	chr1	42943321	42958633	138140	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN	Dystonia 9, 601042 (3), Autosomal dominant; GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (3), Autosomal recessive, Autosomal dominant; Stomatin-deficient cryohydrocytosis with neurologic defects, 608885 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, susceptibility to, 12}, 614847 (3), Autosomal dominant; GLUT1 deficiency syndrome 2, childhood onset, 612126 (3), Autosomal dominant	NA	NA	NA
chr1	43416719	43416782	NMD_in	SZT2	chr1	43416641	43419733	615463	SZT2, KIAA0467, DEE18	Developmental and epileptic encephalopathy 18, 615476 (3), Autosomal recessive	NA	NA	NA
chr1	43690625	43690684	NMD_in	KDM4A	chr1	43689095	43690844	609764	KDM4A, JMJD2A, JHDM3A, KIAA0677	NA	NA	NA	NA
chr1	44236885	44237008	NMD_in	ERI3	chr1	44221640	44247938	609917	PRNPIP, PINT1	NA	NA	NA	NA
chr1	44314289	44314483	NMD_in	ERI3	chr1	44313228	44319627	609917	PRNPIP, PINT1	NA	NA	NA	NA
chr1	44632754	44632894	NMD_in	RNF220	chr1	44632385	44635544	616136	RNF220, HLD23	Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy, 619688 (3), Autosomal recessive	NA	NA	NA
chr1	44643746	44643892	NMD_in	RNF220	chr1	44636162	44644697	616136	RNF220, HLD23	Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy, 619688 (3), Autosomal recessive	NA	NA	NA
chr1	44673649	44673740	NMD_in	TMEM53	chr1	44660295	44674330	619722	TMEM53, NET4, CTDI	Craniotubular dysplasia, Ikegawa type, 619727 (3), Autosomal recessive	NA	NA	NA
chr1	46349976	46350099	NMD_in	NSUN4	chr1	46347075	46352867	615394	NSUN4	NA	NA	NA	NA
chr1	47995190	47995340	NMD_in	TRABD2B	chr1	47994597	47996687	614913	TRABD2B, TIKI2	NA	NA	NA	NA
chr1	50611833	50611871	NMD_in	FAF1	chr1	50596216	50655441	604460	FAF1, HFAF1	NA	NA	NA	NA
chr1	50857548	50857669	NMD_in	FAF1	chr1	50801677	50857928	604460	FAF1, HFAF1	NA	NA	NA	NA
chr1	51420624	51420826	NMD_in	EPS15	chr1	51409696	51421785	600051	EPS15	NA	NA	NA	NA
chr1	51442816	51442898	NMD_in	EPS15	chr1	51440432	51444888	600051	EPS15	NA	NA	NA	NA
chr1	51824645	51824792	NMD_in	NRDC	chr1	51823786	51825286	602651	NRD1	NA	NA	NA	NA
chr1	51836368	51836437	NMD_in	NRDC	chr1	51836212	51840225	602651	NRD1	NA	NA	NA	NA
chr1	52361696	52361948	NMD_in	CC2D1B	chr1	52361616	52362601	NA	NA	NA	NA	NA	NA
chr1	52449902	52450059	NMD_in	TUT4	chr1	52446667	52458335	613692	TUT4, ZCCHC11, KIAA0191	NA	NA	NA	NA
chr1	53526159	53526352	NMD_in	GLIS1	chr1	53524887	53529790	610378	GLIS1	NA	Rare Single Gene Mutation, Genetic Association	2	0
chr1	54363271	54363375	NMD_in	SSBP3	chr1	54281527	54401860	607390	SSBP3	NA	NA	NA	NA
chr1	54722310	54722361	NMD_in	TTC4	chr1	54721240	54722674	606753	TTC4	NA	NA	NA	NA
chr1	55084392	55084420	NMD_in	USP24	chr1	55083888	55085941	610569	USP24, KIAA1057	NA	NA	NA	NA
chr1	55151911	55151974	NMD_in	USP24	chr1	55148570	55153869	610569	USP24, KIAA1057	NA	NA	NA	NA
chr1	58515743	58515831	NMD_in	OMA1	chr1	58506209	58527260	617081	OMA1, MPRP1	NA	NA	NA	NA
chr1	59503255	59503565	NMD_in	FGGY	chr1	59457076	59512310	611370	FGGY, FLJ10986	NA	NA	NA	NA
chr1	59749090	59749217	NMD_in	FGGY	chr1	59674133	59757930	611370	FGGY, FLJ10986	NA	NA	NA	NA
chr1	59863825	59863868	NMD_in	HOOK1	chr1	59862877	59864631	607820	HOOK1, HK1	NA	NA	NA	NA
chr1	61833358	61833377	NMD_in	PATJ	chr1	61827583	61833653	603199	PATJ, INADL	NA	Rare Single Gene Mutation, Genetic Association	2	0
chr1	64780288	64780322	NMD_in	RAVER2	chr1	64778092	64781379	609953	RAVER2, KIAA1579	NA	NA	NA	NA
chr1	64879267	64879369	NMD_in	JAK1	chr1	64879148	64883276	147795	JAK1, AIIDE	Autoinflammation, immune dysregulation, and eosinophilia, 618999 (3), Autosomal dominant	NA	NA	NA
chr1	66642489	66642556	NMD_in	SGIP1	chr1	66639833	66642809	611540	SGIP1	NA	NA	NA	NA
chr1	69873466	69873608	NMD_in	LRRC7	chr1	69838283	69931506	614453	LRRC7, DENSIN, KIAA1365	NA	NA	NA	NA
chr1	70023675	70023930	NMD_in	LRRC7	chr1	70023374	70028170	614453	LRRC7, DENSIN, KIAA1365	NA	NA	NA	NA
chr1	70293503	70293619	NMD_in	ANKRD13C	chr1	70292549	70296129	615125	ANKRD13C	NA	NA	NA	NA
chr1	75790151	75790273	NMD_in	RABGGTB	chr1	75790057	75791284	179080	RABGGTB	NA	NA	NA	NA
chr1	77714284	77714463	NMD_in	USP33	chr1	77713281	77714613	615146	USP33, VDU1	NA	NA	NA	NA
chr1	85258934	85259060	NMD_in	C1orf52	chr1	85258722	85259357	NA	NA	NA	NA	NA	NA
chr1	85659537	85659735	NMD_in	ZNHIT6	chr1	85657971	85677235	NA	NA	NA	NA	NA	NA
chr1	85659802	85659992	NMD_in	ZNHIT6	chr1	85657971	85677235	NA	NA	NA	NA	NA	NA
chr1	89268253	89268284	NMD_in	GBP5	chr1	89267526	89268728	611467	GBP5	NA	NA	NA	NA
chr1	91514280	91514488	NMD_in	CDC7	chr1	91514043	91514818	603311	CDC7, CDC7L1	NA	NA	NA	NA
chr1	92691274	92691375	NMD_in	EVI5	chr1	92677218	92693801	602942	EVI5, NB4S	NA	NA	NA	NA
chr1	92713997	92714022	NMD_in	EVI5	chr1	92704744	92736397	602942	EVI5, NB4S	NA	NA	NA	NA
chr1	94031185	94031255	NMD_in	ABCA4	chr1	94031120	94031777	601691	ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2	Retinal dystrophy, early-onset severe, 248200 (3), Autosomal recessive; Retinitis pigmentosa 19, 601718 (3), Autosomal recessive; {Macular degeneration, age-related, 2}, 153800 (3), Autosomal dominant; Cone-rod dystrophy 3, 604116 (3), Autosomal recessive; Fundus flavimaculatus, 248200 (3), Autosomal recessive; Stargardt disease 1, 248200 (3), Autosomal recessive	NA	NA	NA
chr1	99264817	99264918	NMD_in	PLPPR4	chr1	99264671	99287964	607813	PLPPR4, LPPR4, PRG1, KIAA0455	NA	NA	NA	NA
chr1	99664602	99664676	NMD_in	PALMD	chr1	99662399	99667641	610182	PALMD, PALML	NA	NA	NA	NA
chr1	99865947	99865986	NMD_in	AGL	chr1	99864589	99870399	610860	AGL, GDE	Glycogen storage disease IIIa, 232400 (3), Autosomal recessive; Glycogen storage disease IIIb, 232400 (3), Autosomal recessive	NA	NA	NA
chr1	100124287	100124355	NMD_in	SASS6	chr1	100123289	100125881	609321	SASS6, SAS6, MCPH14	Microcephaly 14, primary, autosomal recessive, 616402 (3), Autosomal recessive	NA	NA	NA
chr1	100919086	100919168	NMD_in	SLC30A7	chr1	100918127	100921705	611149	SLC30A7, ZNT7	NA	NA	NA	NA
chr1	100960371	100960465	NMD_in	SLC30A7	chr1	100921841	100961827	611149	SLC30A7, ZNT7	NA	NA	NA	NA
chr1	102979596	102979611	NMD_in	COL11A1	chr1	102979435	102984137	120280	COL11A1, STL2, DFNA37	Fibrochondrogenesis 1, 228520 (3), Autosomal recessive; Stickler syndrome, type II, 604841 (3), Autosomal dominant; Marshall syndrome, 154780 (3), Autosomal dominant; Deafness, autosomal dominant 37, 618533 (3), Autosomal dominant; {Lumbar disc herniation, susceptibility to}, 603932 (3)	NA	NA	NA
chr1	108693589	108693641	NMD_in	PRPF38B	chr1	108692867	108695701	NA	NA	NA	NA	NA	NA
chr1	108697809	108697862	NMD_in	PRPF38B	chr1	108696337	108698603	NA	NA	NA	NA	NA	NA
chr1	108697946	108698016	NMD_in	PRPF38B	chr1	108696337	108698603	NA	NA	NA	NA	NA	NA
chr1	109485331	109485508	NMD_in	ATXN7L2	chr1	109484080	109486056	NA	NA	NA	NA	NA	NA
chr1	109985379	109985542	NMD_in	AHCYL1	chr1	109985172	110009033	607826	AHCYL1, DCAL, IRBIT	NA	NA	NA	NA
chr1	111167105	111167189	NMD_in	CEPT1	chr1	111161296	111174878	616751	CEPT1	NA	NA	NA	NA
chr1	111173113	111173257	NMD_in	CEPT1	chr1	111161296	111174878	616751	CEPT1	NA	NA	NA	NA
chr1	111442989	111443090	NMD_in	WDR77	chr1	111442761	111443322	611734	WDR77, MEP50	NA	NA	NA	NA
chr1	111706662	111706776	NMD_in	RAP1A	chr1	111704486	111709148	179520	RAP1A, KREV1	NA	NA	NA	NA
chr1	113103608	113103784	NMD_in	LRIG2	chr1	113100488	113107593	608869	LRIG2, LIG2, KIAA0806, UFS2	Urofacial syndrome 2, 615112 (3), Autosomal recessive	NA	NA	NA
chr1	113796185	113796302	NMD_in	RSBN1	chr1	113777808	113797362	615858	RSBN1, ROSBIN	NA	NA	NA	NA
chr1	113959264	113959390	NMD_in	HIPK1	chr1	113958291	113962316	608003	HIPK1	NA	NA	NA	NA
chr1	113962634	113963094	NMD_in	HIPK1	chr1	113962438	113963386	608003	HIPK1	NA	NA	NA	NA
chr1	114136921	114137064	NMD_in	SYT6	chr1	114103721	114137494	607718	SYT6	NA	NA	NA	NA
chr1	114738218	114738255	NMD_in	CSDE1	chr1	114738072	114739691	191510	CSDE1, D1S155E, UNR	NA	Rare Single Gene Mutation, Syndromic	1	0
chr1	116661885	116662098	NMD_in	IGSF3	chr1	116616457	116666283	603491	IGSF3, LCDD	?Lacrimal duct defect, 149700 (3), Autosomal recessive	NA	NA	NA
chr1	116972756	116972839	NMD_in	PTGFRN	chr1	116967330	116974215	601204	PTGFRN, FPRP	NA	NA	NA	NA
chr1	119924976	119925189	NMD_in	NOTCH2	chr1	119923984	119925304	600275	NOTCH2, AGS2, HJCYS	Alagille syndrome 2, 610205 (3), Autosomal dominant; Hajdu-Cheney syndrome, 102500 (3), Autosomal dominant	NA	NA	NA
chr1	145787011	145787062	NMD_in	RNF115	chr1	145784596	145788907	619535	RNF115, BCA2, RABRING7, ZFP364	NA	NA	NA	NA
chr1	145946846	145946919	NMD_in	LIX1L	chr1	145942853	145947618	NA	NA	NA	NA	NA	NA
chr1	149031163	149031223	NMD_in	PDE4DIP	chr1	149030278	149031943	608117	PDE4DIP, MMGL, KIAA0454, KIAA0477	NA	NA	NA	NA
chr1	150110224	150110425	NMD_in	VPS45	chr1	150093648	150110495	610035	VPS45, VPS45A, SCN5	Neutropenia, severe congenital, 5, autosomal recessive, 615285 (3), Autosomal recessive	NA	NA	NA
chr1	150261161	150261182	NMD_in	CA14	chr1	150260171	150261458	604832	CA14	NA	NA	NA	NA
chr1	150327556	150327651	NMD_in	PRPF3	chr1	150325881	150328319	607301	PRPF3, HPRP3, RP18	Retinitis pigmentosa 18, 601414 (3), Autosomal dominant	NA	NA	NA
chr1	151693592	151693661	NMD_in	SNX27	chr1	151693483	151694369	611541	SNX27, MRT1	NA	NA	NA	NA
chr1	151704129	151704190	NMD_in	CELF3	chr1	151703448	151705030	612678	CELF3, TNRC4, BRUNOL1	NA	NA	NA	NA
chr1	153948833	153948899	NMD_in	CRTC2	chr1	153948644	153949114	608972	CRTC2, TORC2	NA	NA	NA	NA
chr1	153990913	153991033	NMD_in	RPS27	chr1	153990802	153991114	603702	RPS27, MPS1, DBA17	?Diamond-Blackfan anemia 17, 617409 (3), Autosomal dominant	NA	NA	NA
chr1	154172028	154172103	NMD_in	TPM3	chr1	154171488	154172907	191030	TPM3, NEM1, CFTD, CAPM1	CAP myopathy 1, 609284 (3), Autosomal recessive, Autosomal dominant; Myopathy, congenital, with fiber-type disproportion, 255310 (3), Autosomal recessive, Autosomal dominant; Nemaline myopathy 1, autosomal dominant or recessive, 609284 (3), Autosomal recessive, Autosomal dominant	NA	NA	NA
chr1	154556839	154556959	NMD_in	UBE2Q1	chr1	154555964	154558226	617429	UBE2Q1, GTAP, NICE5	NA	NA	NA	NA
chr1	154975126	154975167	NMD_in	CKS1B	chr1	154974804	154977986	116900	CKS1B, CKS1	NA	NA	NA	NA
chr1	155061116	155061235	NMD_in	ADAM15	chr1	155060832	155061414	605548	ADAM15, MDC15	NA	NA	NA	NA
chr1	155061575	155061645	NMD_in	ADAM15	chr1	155061489	155061903	605548	ADAM15, MDC15	NA	NA	NA	NA
chr1	155174600	155174640	NMD_in	TRIM46	chr1	155174029	155175385	600986	GENEY	NA	NA	NA	NA
chr1	155462452	155462598	NMD_in	ASH1L	chr1	155459898	155477885	607999	ASH1L, KIAA1420, ASH1, MRD52	Intellectual developmental disorder, autosomal dominant 52, 617796 (3), Autosomal dominant	Rare Single Gene Mutation, Syndromic, Genetic Association, Functional	1	0
chr1	156053072	156053092	NMD_in	UBQLN4	chr1	156051857	156053593	605440	UBQLN4, A1U, C1orf6	NA	NA	NA	NA
chr1	156160011	156160276	NMD_in	SEMA4A	chr1	156158824	156160442	607292	SEMA4A, SEMB, RP35, CORD10	Retinitis pigmentosa 35, 610282 (3), Autosomal recessive, Autosomal dominant; Cone-rod dystrophy 10, 610283 (3), Autosomal recessive	NA	NA	NA
chr1	156246473	156246552	NMD_in	PAQR6	chr1	156246250	156246680	614579	PAQR6	NA	NA	NA	NA
chr1	156744500	156744569	NMD_in	HDGF	chr1	156744348	156745007	600339	HDGF	NA	NA	NA	NA
chr1	160220458	160220690	NMD_in	DCAF8	chr1	160218968	160222650	615820	DCAF8, WDR42A, GAN2	?Giant axonal neuropathy 2, autosomal dominant, 610100 (3), Autosomal dominant	NA	NA	NA
chr1	160283243	160283394	NMD_in	PEX19	chr1	160283109	160283529	600279	PEX19, PXF, HK33, D1S2223E, PBD12A	Peroxisome biogenesis disorder 12A (Zellweger), 614886 (3), Autosomal recessive	NA	NA	NA
chr1	160354548	160354730	NMD_in	NCSTN	chr1	160354290	160355654	605254	NCSTN	Acne inversa, familial, 1, 142690 (3), Autosomal dominant	NA	NA	NA
chr1	161365877	161366036	NMD_in	CFAP126	chr1	161365702	161366197	616119	CFAP126, FLTP	NA	NA	NA	NA
chr1	162111811	162111919	NMD_in	NOS1AP	chr1	162070282	162154404	605551	NOS1AP, CAPON, KIAA0464, NPHS22	Nephrotic syndrome, type 22, 619155 (3), Autosomal recessive	NA	NA	NA
chr1	165442120	165442324	NMD_in	RXRG	chr1	165428966	165444844	180247	RXRG	NA	NA	NA	NA
chr1	166927586	166927669	NMD_in	ILDR2	chr1	166927180	166935300	618081	ILDR2	NA	NA	NA	NA
chr1	167303473	167303573	NMD_in	POU2F1	chr1	167220958	167332469	164175	OTF1, OCT1	NA	NA	NA	NA
chr1	168039999	168040078	NMD_in	DCAF6	chr1	168038488	168043024	610494	DCAF6, IQWD1, NRIP	NA	NA	NA	NA
chr1	169980731	169981858	NMD_in	KIFAP3	chr1	169978183	169981971	601836	KIFAP3, SMAP	NA	NA	NA	NA
chr1	169987637	169987736	NMD_in	KIFAP3	chr1	169984690	169992154	601836	KIFAP3, SMAP	NA	NA	NA	NA
chr1	171569351	171569376	NMD_in	PRRC2C	chr1	171568339	171571319	617373	PRRC2C, KIAA1096	NA	NA	NA	NA
chr1	172603059	172603149	NMD_in	SUCO	chr1	172602787	172608746	619434	SUCO, C1orf9	NA	NA	NA	NA
chr1	174876872	174877604	NMD_in	RABGAP1L	chr1	174811960	174957456	609238	RABGAP1L, TBC1D18, KIAA0471	NA	NA	NA	NA
chr1	174964960	174964984	NMD_in	RABGAP1L	chr1	174957549	174969276	609238	RABGAP1L, TBC1D18, KIAA0471	NA	NA	NA	NA
chr1	174985402	174985480	NMD_in	RABGAP1L	chr1	174982905	174988640	609238	RABGAP1L, TBC1D18, KIAA0471	NA	NA	NA	NA
chr1	178796621	178796768	NMD_in	RALGPS2	chr1	178785607	178808044	617819	RALGPS2, FLJ10244	NA	NA	NA	NA
chr1	180178111	180178580	NMD_in	QSOX1	chr1	180176033	180178793	603120	QSOX1	NA	NA	NA	NA
chr1	180801150	180801259	NMD_in	XPR1	chr1	180787854	180803387	605237	XPR1, SYG1, IBGC6	Basal ganglia calcification, idiopathic, 6, 616413 (3), Autosomal dominant	NA	NA	NA
chr1	182855576	182855712	NMD_in	DHX9	chr1	182854178	182856531	603115	DHX9, DDX9, NDHII	NA	NA	NA	NA
chr1	183502252	183502390	NMD_in	SMG7	chr1	183472649	183512836	610964	SMG7, EST1C, KIAA0250	NA	NA	NA	NA
chr1	183527625	183527730	NMD_in	SMG7	chr1	183526767	183527955	610964	SMG7, EST1C, KIAA0250	NA	NA	NA	NA
chr1	183528507	183528606	NMD_in	SMG7	chr1	183528027	183528891	610964	SMG7, EST1C, KIAA0250	NA	NA	NA	NA
chr1	183817322	183817428	NMD_in	RGL1	chr1	183806485	183847565	605667	RGL1, RGL	NA	NA	NA	NA
chr1	193020306	193020455	NMD_in	UCHL5	chr1	193016395	193021096	610667	UCHL5, UCH37	NA	NA	NA	NA
chr1	193161122	193161189	NMD_in	CDC73	chr1	193152444	193203794	607393	CDC73, HRPT2, C1orf28	Hyperparathyroidism, familial primary, 145000 (3), Autosomal dominant; Parathyroid adenoma with cystic changes, 145001 (3), Autosomal dominant; Parathyroid carcinoma, 608266 (3); Hyperparathyroidism-jaw tumor syndrome, 145001 (3), Autosomal dominant	NA	NA	NA
chr1	200855351	200855919	NMD_in	CAMSAP2	chr1	200854889	200856009	613775	CAMSAP1L, CAMSAP2, KIAA1078	NA	NA	NA	NA
chr1	200974003	200974193	NMD_in	KIF21B	chr1	200973578	200974713	608322	KIF21B, KIAA0449	NA	NA	NA	NA
chr1	201021365	201021544	NMD_in	KIF21B	chr1	201009488	201023342	608322	KIF21B, KIAA0449	NA	NA	NA	NA
chr1	201834953	201835070	NMD_in	IPO9	chr1	201829372	201847278	NA	NA	NA	NA	NA	NA
chr1	201855636	201855672	NMD_in	IPO9	chr1	201855182	201855782	NA	NA	NA	NA	NA	NA
chr1	201868345	201868524	NMD_in	IPO9	chr1	201866959	201868647	NA	NA	NA	NA	NA	NA
chr1	203017755	203017918	NMD_in	TMEM183A	chr1	203016140	203018480	NA	NA	NA	NA	NA	NA
chr1	203075967	203076075	NMD_in	PPFIA4	chr1	203075757	203076340	603145	PPFIA4	NA	NA	NA	NA
chr1	204261959	204262010	NMD_in	PLEKHA6	chr1	204261448	204264941	607771	PEPP3, KIAA0969	NA	NA	NA	NA
chr1	204446924	204447022	NMD_in	PIK3C2B	chr1	204446144	204447435	602838	PIK3C2B	NA	NA	NA	NA
chr1	204537989	204538128	NMD_in	MDM4	chr1	204537497	204538208	602704	MDM4, BMFS6	?Bone marrow failure syndrome 6, 618849 (3), Autosomal dominant	NA	NA	NA
chr1	204985909	204986113	NMD_in	NFASC	chr1	204982020	204987417	609145	NFASC, KIAA0756, NEDCPMD	Neurodevelopmental disorder with central and peripheral motor dysfunction, 618356 (3), Autosomal recessive	NA	NA	NA
chr1	205193091	205193235	NMD_in	DSTYK	chr1	205187806	205211270	612666	DSTYK, KIAA0472, RIP5, DUSTYPK, CAKUT1, SPG23	Congenital anomalies of kidney and urinary tract 1, 610805 (3), Autosomal dominant; Spastic paraplegia 23, 270750 (3), Autosomal recessive	NA	NA	NA
chr1	205832396	205832510	NMD_in	PM20D1	chr1	205830379	205832597	617124	PM20D1	NA	NA	NA	NA
chr1	206458370	206458408	NMD_in	SRGAP2	chr1	206455024	206458622	606524	SRGAP2, KIAA0456	NA	NA	NA	NA
chr1	208077317	208077491	NMD_in	PLXNA2	chr1	208060837	208079259	601054	PLXNA2, OCT, PLXN2	NA	NA	NA	NA
chr1	209595625	209595705	NMD_in	CAMK1G	chr1	209595075	209599982	614994	CAMK1G, CLICK3	NA	NA	NA	NA
chr1	211271695	211271873	NMD_in	RCOR3	chr1	211271309	211274209	NA	NA	NA	NA	NA	NA
chr1	211312354	211312486	NMD_in	RCOR3	chr1	211304140	211312719	NA	NA	NA	NA	NA	NA
chr1	211974924	211974949	NMD_in	INTS7	chr1	211968707	211975165	611350	INTS7, INT7	NA	NA	NA	NA
chr1	212785193	212785316	NMD_in	NSL1	chr1	212784493	212787558	609174	NSL1, DC8, C1orf48	NA	NA	NA	NA
chr1	212864391	212864518	NMD_in	FLVCR1	chr1	212863869	212872677	609144	FLVCR1, AXPC1, PCARP	Ataxia, posterior column, with retinitis pigmentosa, 609033 (3), Autosomal recessive	NA	NA	NA
