HGNC ID	Approved symbol	Previous symbols	Alias symbols	Chromosome	Accession numbers	Alias names	Previous name
HGNC:13666	AAAS			12q13.13	AJ289841	"aladin", "Allgrove, triple-A", "adracalin"	"achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)", "achalasia, adrenocortical insufficiency, alacrimia"
HGNC:12	AABT
HGNC:13	AAC1
HGNC:14	AAC2
HGNC:21298	AACS		FLJ12389, SUR-5, ACSF1	12q24.31	AK022451	"acyl-CoA synthetase family member 1"
HGNC:18226	AACSP1	AACSL		5q35.3			"acetoacetyl-CoA synthetase-like"
HGNC:13792	AACT
HGNC:17	AADAC		DAC, CES5A1	3q25.1	L32179		"arylacetamide deacetylase (esterase)"
HGNC:24427	AADACL2		MGC72001	3q25.1	BC065724
HGNC:50301	AADACL2-AS1			3q25.1
HGNC:32037	AADACL3		OTTHUMG00000001887	1p36.21
HGNC:32038	AADACL4		OTTHUMG00000001889	1p36.21
HGNC:50305	AADACP1			3q25.1
HGNC:17929	AADAT		KATII, KAT2, KYAT2	4q33	AF097994	"kynurenine aminotransferase II", "L kynurenine/alpha aminoadipate aminotransferase"
HGNC:25662	AAGAB		FLJ11506, p34	15q23	AL136715
HGNC:19679	AAK1		KIAA1048, DKFZp686K16132	2p13.3	AB028971
HGNC:30205	AAMDC	C11orf67	PTD015, FLJ21035, CK067	11q14.1	BC016854		"chromosome 11 open reading frame 67"
HGNC:18	AAMP			2q35	AB209790
HGNC:19	AANAT		SNAT	17q25.1	U40347	"serotonin N-acetyltransferase"	"arylalkylamine N-acetyltransferase"
HGNC:15886	AAR2	C20orf4	bA234K24.2	20q11.23			"chromosome 20 open reading frame 4", "AAR2 splicing factor homolog (S. cerevisiae)", "AAR2 splicing factor homolog"
HGNC:33842	AARD	C8orf85	LOC441376	8q24.11	AB181519, BC140924	"Alanine and arginine-rich domain-containing protein"	"chromosome 8 open reading frame 85"
HGNC:20	AARS1	AARS	CMT2N, AlaRS	16q22.1	D32050	"alanine tRNA ligase 1, cytoplasmic"	"alanyl-tRNA synthetase"
HGNC:49894	AARS1P1	AARSP1		4q28.3			"alanyl-tRNA synthetase pseudogene 1"
HGNC:21022	AARS2	AARSL	KIAA1270, bA444E17.1	6p21.1	AB033096	"alanine tRNA ligase 2, mitochondrial"	"alanyl-tRNA synthetase like", "alanyl-tRNA synthetase 2, mitochondrial (putative)"
HGNC:28417	AARSD1		MGC2744, AlaXp	17q21.31	BC004172
HGNC:54994	AARSD1P1			Xq13.2
HGNC:23993	AASDH		NRPS998, LYS2, ACSF4	4q12	AF516672	"acyl-CoA synthetase family member 4", "Beta-alanine-activating enzyme"
HGNC:14235	AASDHPPT		LYS5, CGI-80, AASD-PPT, ACPS	11q22.3	AF302110	"holo ACP synthase", "holo-[acyl-carrier-protein] synthase"
HGNC:17366	AASS		LORSDH, LKRSDH	7q31.32	AF229180	"alpha-aminoadipic semialdehyde synthase", "lysine ketoglutarate reductase/saccharopine dehydrogenase"
HGNC:51526	AATBC			21q22.3		"apoptosis-associated transcript in bladder cancer"
HGNC:19235	AATF		DED, CHE-1, CHE1, BFR2	17q12	AF083208
HGNC:21	AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	AB014541	"lemur tyrosine kinase 1", "protein phosphatase 1, regulatory subunit 77"
HGNC:22	AAVS1		AAV	19q13	S51329
HGNC:49667	ABALON		INXS	20q11.21	KC505631	"apoptotic BCL-X-associated long ncRNA", "intronic BCL-XS-inducing lncRNA"
HGNC:23	ABAT		GABAT, GABA-T	16p13.2	L32961	"4-aminobutyrate transaminase", "gamma-aminobutyrate aminotransferase", "GABA transaminase"
HGNC:24	ABC1
HGNC:25	ABC2
HGNC:26	ABC3
HGNC:28	ABC7
HGNC:27	ABC50
HGNC:29	ABCA1	ABC1, HDLDT1	TGD	9q31.1	AJ012376	"Tangier disease"	"ATP-binding cassette, sub-family A (ABC1), member 1"
HGNC:32	ABCA2	ABC2		9q34.3	U18235		"ATP-binding cassette, sub-family A (ABC1), member 2"
HGNC:33	ABCA3	ABC3	ABC-C, EST111653, LBM180	16p13.3	U78735		"ATP-binding cassette, sub-family A (ABC1), member 3"
HGNC:55707	ABCA3P1			16p12.2
HGNC:34	ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22.1	U88667	"Stargardt disease"	"ATP-binding cassette transporter, retinal-specific", "ATP-binding cassette, sub-family A (ABC1), member 4"
HGNC:35	ABCA5		EST90625	17q24.3	U66672		"ATP-binding cassette, sub-family A (ABC1), member 5"
HGNC:36	ABCA6		EST155051	17q24.2-q24.3	U66680		"ATP-binding cassette, sub-family A (ABC1), member 6"
HGNC:37	ABCA7		ABCX	19p13.3	AF328787		"ATP-binding cassette, sub-family A (ABC1), member 7"
HGNC:38	ABCA8		KIAA0822	17q24.2	AB020629		"ATP-binding cassette, sub-family A (ABC1), member 8"
HGNC:39	ABCA9		EST640918	17q24.2	AF423307		"ATP-binding cassette, sub-family A (ABC1), member 9"
HGNC:39983	ABCA9-AS1			17q24.2			"ABCA9 antisense RNA 1 (non-protein coding)"
HGNC:30	ABCA10		EST698739	17q24.3	AY247065		"ATP-binding cassette, sub-family A (ABC1), member 10"
HGNC:31	ABCA11P	ABCA11	EST1133530, FLJ14297	4p16.3	AK024359		"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene"
HGNC:14637	ABCA12	ICR2B	DKFZP434G232, LI2	2q35	AF418105		"ichthyosis congenita II, lamellar ichthyosis B", "ATP-binding cassette, sub-family A (ABC1), member 12"
HGNC:14638	ABCA13		FLJ33876, FLJ33951	7p12.3	AY204751		"ATP-binding cassette, sub-family A (ABC1), member 13"
HGNC:32972	ABCA17P			16p13.3	DQ266102		"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene"
HGNC:40	ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20, p-170, PGY1	7q21.12	M14758	"multidrug resistance protein 1", "P-glycoprotein"	"colchicin sensitivity", "ATP-binding cassette, sub-family B (MDR/TAP), member 1"
HGNC:11563	ABCB2
HGNC:11564	ABCB3
HGNC:45	ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21.12	M23234		"ATP-binding cassette, sub-family B (MDR/TAP), member 4"
HGNC:46	ABCB5		EST422562, ABCB5beta, ABCB5alpha	7p21.1	U66692	"P-glycoprotein ABCB5", "ATP-binding cassette protein"	"ATP-binding cassette, sub-family B (MDR/TAP), member 5"
HGNC:47	ABCB6		EST45597, umat, MTABC3	2q35	AF070598	"ATP-binding cassette half-transporter"	"ATP-binding cassette, sub-family B (MDR/TAP), member 6", "ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)"
HGNC:48	ABCB7	ABC7	EST140535, Atm1p, ASAT	Xq13.3	AF038950		"ATP-binding cassette, sub-family B (MDR/TAP), member 7"
HGNC:49	ABCB8		EST328128, M-ABC1, MABC1, MITOSUR	7q36.1	AF047690	"mitochondrial ABC protein"	"ATP-binding cassette, sub-family B (MDR/TAP), member 8"
HGNC:50	ABCB9		EST122234	12q24.31	U66676		"ATP-binding cassette, sub-family B (MDR/TAP), member 9"
HGNC:41	ABCB10		EST20237, M-ABC2, MTABC2	1q42.13	U18237	"ATP-binding cassette sub-family B member 10, mitochondrial", "ATP-binding cassette transporter 10", "ABC transporter 10 protein", "mitochondrial ATP-binding cassette 2"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"
HGNC:14114	ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2	15q11.2	AF218417		"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene", "ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 2", "ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1", "ATP binding cassette subfamily B member 10 pseudogene 1"
HGNC:31128	ABCB10P2			15q11.2
HGNC:31129	ABCB10P3			15q13.1			"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3", "ATP binding cassette subfamily B member 10 pseudogene 3"
HGNC:31130	ABCB10P4			15q13.1			"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4", "ATP binding cassette subfamily B member 10 pseudogene 4"
HGNC:42	ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q31.1	AF091582	"ABC member 16, MDR/TAP subfamily"	"progressive familial intrahepatic cholestasis 2", "bile salt export pump", "ATP-binding cassette, sub-family B (MDR/TAP), member 11"
HGNC:51	ABCC1	MRP, MRP1	GS-X	16p13.11	L05628	"glutathione S-conjugate export pump"	"multidrug resistance associated protein 1", "ATP-binding cassette, sub-family C (CFTR/MRP), member 1"
HGNC:53	ABCC2	CMOAT	DJS, MRP2, cMRP	10q24.2	U63970		"canalicular multispecific organic anion transporter 1", "ATP-binding cassette, sub-family C (CFTR/MRP), member 2"
HGNC:54	ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21.33	Y17151	"canalicular multispecific organic anion transporter 2"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"
HGNC:55	ABCC4		MRP4, EST170205, MOAT-B, MOATB	13q32.1	U66682	"canalicular multispecific organic anion transporter (ABC superfamily)", "bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)", "multidrug resistance-associated protein 4", "multispecific organic anion transporter B"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"
HGNC:56	ABCC5		MRP5, SMRP, EST277145, MOAT-C	3q27.1	AF104942		"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"
HGNC:40055	ABCC5-AS1			3q27.1			"ABCC5 antisense RNA 1 (non-protein coding)"
HGNC:57	ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	AF076622		"pseudoxanthoma elasticum", "ATP-binding cassette, sub-family C (CFTR/MRP), member 6"
HGNC:33352	ABCC6P1			16p12.3	BC075833		"ATP-binding cassette, sub-family C, member 6 pseudogene 1", "ATP-binding cassette, sub-family C, member 6 pseudogene 1 (functional)", "ATP binding cassette subfamily C member 6 pseudogene 1 (functional)"
HGNC:33353	ABCC6P2			16p13.11			"ATP-binding cassette, sub-family C, member 6 pseudogene 2"
HGNC:58	ABCC7
HGNC:59	ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	L78207	"sulfonylurea receptor (hyperinsulinemia)"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
HGNC:60	ABCC9		SUR2, CMD1O	12p12.1	AF061323	"sulfonylurea receptor 2"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
HGNC:52	ABCC10		EST182763, MRP7, SIMRP7	6p21.1	U66684		"ATP-binding cassette, sub-family C (CFTR/MRP), member 10"
HGNC:14639	ABCC11		MRP8	16q12.1	AF367202		"ATP-binding cassette, sub-family C (CFTR/MRP), member 11"
HGNC:14640	ABCC12		MRP9	16q12.1	AY040220		"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"
HGNC:16022	ABCC13		PRED6, C21orf73, ABCC13P	21q11.2	AF418600		"ATP-binding cassette, sub-family C (CFTR/MRP), member 13"
HGNC:61	ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	Z21876		"ATP-binding cassette, sub-family D (ALD), member 1"
HGNC:62	ABCD1P1			2p11.2	U90290		"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1"
HGNC:63	ABCD1P2		bA453N3.6	10p11.1	U90288		"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2"
HGNC:64	ABCD1P3			16p11.2	U90289		"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3"
HGNC:65	ABCD1P4			22q11.1	U90291		"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4"
HGNC:42662	ABCD1P5			2p11.1			"ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 5"
HGNC:66	ABCD2	ALDL1	ALDR, ALDRP	12q12	U28150		"ATP-binding cassette, sub-family D (ALD), member 2"
HGNC:67	ABCD3	PXMP1	PMP70, ZWS2	1p21.3	M81182	"peroxisomal membrane protein 70 kDa"	"ATP-binding cassette, sub-family D (ALD), member 3", "peroxisomal membrane protein 1 (70kD, Zellweger syndrome)"
HGNC:68	ABCD4	PXMP1L	PMP69, P70R, EST352188	14q24.3	AF009746		"ATP-binding cassette, sub-family D (ALD), member 4"
HGNC:69	ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	4q31.21	X74987	"RNase L inhibitor 1"	"ATP-binding cassette, sub-family E (OABP), member 1"
HGNC:70	ABCF1	ABC50	EST123147	6p21.33	AF027302		"ATP-binding cassette, sub-family F (GCN20), member 1"
HGNC:53628	ABCF1-DT			6p21.33
HGNC:71	ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	AJ005016		"ATP-binding cassette, sub-family F (GCN20), member 2"
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BE1		7q36.1			"ABCF2-H2BE1 readthrough"
HGNC:48841	ABCF2P1			3p11.1			"ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 1"
HGNC:48842	ABCF2P2			7q11.22			"ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 2"
HGNC:72	ABCF3		EST201864	3q27.1	U66685		"ATP-binding cassette, sub-family F (GCN20), member 3"
HGNC:73	ABCG1		ABC8	21q22.3	U34919	"ATP-binding cassette transporter 8"	"ATP-binding cassette, sub-family G (WHITE), member 1"
HGNC:74	ABCG2		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796		"ATP-binding cassette, sub-family G (WHITE), member 2", "ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)"
HGNC:13884	ABCG4		WHITE2	11q23.3	AJ300465	"putative ABC transporter", "ATP-binding cassette, subfamily G, member 4"	"ATP-binding cassette, sub-family G (WHITE), member 4"
HGNC:13886	ABCG5		STSL	2p21	T93792	"sterolin 1"	"ATP-binding cassette, sub-family G (WHITE), member 5"
HGNC:13887	ABCG8		GBD4	2p21	AF320294	"gallbladder disease 4", "sterolin 2"	"ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)", "ATP-binding cassette, sub-family G (WHITE), member 8"
HGNC:75	ABCR
HGNC:17553	ABHD1		LABH1, FLJ36128	2p23.3	AK093447
HGNC:18717	ABHD2		LABH2	15q26.1	X12433		"abhydrolase domain containing 2"
HGNC:18718	ABHD3		LABH3	18q11.2	AK024880		"abhydrolase domain containing 3"
HGNC:20154	ABHD4		FLJ12816	14q11.2	AK022878		"abhydrolase domain containing 4"
HGNC:21396	ABHD5		CGI-58, NCIE2	3p21.33	AF007132		"abhydrolase domain containing 5"
HGNC:21398	ABHD6			3p14.3	AF225418		"abhydrolase domain containing 6"
HGNC:23759	ABHD8		FLJ11743, MGC14280, MGC2512	19p13.11	AK021805
HGNC:25656	ABHD10		FLJ11342	3q13.2	AL713726	"Mycophenolic acid acyl-glucuronide esterase, mitochondrial"	"abhydrolase domain containing 10"
HGNC:16407	ABHD11	WBSCR21	PP1226	7q11.23	AF217971		"Williams Beuren syndrome chromosome region 21"
HGNC:18289	ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035	7q11.23	BU595969	"non-protein coding RNA 35"	"Williams Beuren syndrome chromosome region 26", "Williams Beuren syndrome chromosome region 26 (non-protein coding)", "long intergenic non-protein coding RNA 35"
HGNC:40012	ABHD11-AS2			7q11.23			"ABHD11 antisense RNA 2 (non-protein coding)"
HGNC:15868	ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	AL117442		"chromosome 20 open reading frame 22", "abhydrolase domain containing 12"
HGNC:19837	ABHD12B	C14orf29	BEM46L3	14q22.1	BG698443		"chromosome 14 open reading frame 29"
HGNC:20293	ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	AK027812		"chromosome 13 open reading frame 6"
HGNC:24538	ABHD14A		DKFZP564O243, DORZ1	3p21.2	AY358201
HGNC:38856	ABHD14A-ACY1			3p21.2			"ABHD14A-ACY1 readthrough (NMD candidate)"
HGNC:28235	ABHD14B		MGC15429, CIB	3p21.2	AK075112
HGNC:26971	ABHD15			17q11.2	AK056717
HGNC:49685	ABHD15-AS1		linc-TP53I13, lnc-TP53I13	17q11.2	CN275323
HGNC:13921	ABHD16A	BAT5	NG26, D6S82E	6p21.33	AF129756		"HLA-B associated transcript 5", "abhydrolase domain containing 16A"
HGNC:16128	ABHD16B	C20orf135	dJ591C20.1	20q13.33			"chromosome 20 open reading frame 135"
HGNC:28756	ABHD17A	C19orf27, FAM108A1	MGC5244	19p13.3	BC020512		"chromosome 19 open reading frame 27", "family with sequence similarity 108, member A1", "abhydrolase domain containing 17A"
HGNC:28394	ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	1q21.2			"family with sequence similarity 108, member A2", "abhydrolase domain containing 17A pseudogene 2", "family with sequence similarity 108, member A3", "family with sequence similarity 108, member A11, pseudogene", "family with sequence similarity 108, member A3, pseudogene", "abhydrolase domain containing 17A pseudogene 1"
HGNC:33538	ABHD17AP2	FAM108A3, FAM108A11P, FAM108A3P		1q21.1			"family with sequence similarity 108, member A3", "family with sequence similarity 108, member A11, pseudogene", "family with sequence similarity 108, member A3, pseudogene"
HGNC:34041	ABHD17AP3	FAM108A4, FAM108A4P		1q41			"family with sequence similarity 108, member A4", "family with sequence similarity 108, member A4, pseudogene", "abhydrolase domain containing 17A pseudogene 3"
HGNC:34042	ABHD17AP4	FAM108A5, FAM108A5P		22q11.21			"family with sequence similarity 108, member A5", "family with sequence similarity 108, member A5, pseudogene", "abhydrolase domain containing 17A pseudogene P4"
HGNC:34043	ABHD17AP5	FAM108A6, FAM108A6P		22q11.22			"family with sequence similarity 108, member A6", "family with sequence similarity 108, member A6, pseudogene", "abhydrolase domain containing 17A pseudogene 5"
HGNC:34044	ABHD17AP6	FAM108A7P		17p11.2			"family with sequence similarity 108, member A7, pseudogene", "abhydrolase domain containing 17A pseudogene 6"
HGNC:38508	ABHD17AP7	FAM108A8P		16p11.2			"family with sequence similarity 108, member A8, pseudogene", "abhydrolase domain containing 17A pseudogene 7"
HGNC:38509	ABHD17AP8	FAM108A9P		16p11.2			"family with sequence similarity 108, member A9, pseudogene", "abhydrolase domain containing 17A pseudogene 8"
HGNC:38510	ABHD17AP9	FAM108A10P		16p11.2			"family with sequence similarity 108, member A10, pseudogene", "abhydrolase domain containing 17A pseudogene 9"
HGNC:24278	ABHD17B	C9orf77, FAM108B1	CGI-67	9q21.13	AF151825		"chromosome 9 open reading frame 77", "family with sequence similarity 108, member B1", "abhydrolase domain containing 17B"
HGNC:26925	ABHD17C	FAM108C1		15q25.1			"family with sequence similarity 108, member C1", "abhydrolase domain containing 17C"
HGNC:26111	ABHD18	C4orf29	FLJ21106	4q28.2	AK024759		"chromosome 4 open reading frame 29"
HGNC:11320	ABI1	SSH3BP1	E3B1, ABI-1	10p12.1	U87166		"spectrin SH3 domain binding protein 1", "abl-interactor 1"
HGNC:20035	ABI1P1	SSH3BP1P, ABI1P		14q22.3			"spectrin SH3 domain binding protein 1 pseudogene", "abl-interactor 1 pseudogene"
HGNC:24011	ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33.2	AF260261		"abl-interactor 2"
HGNC:29859	ABI3		NESH, SSH3BP3	17q21.32	AB037886		"ABI family, member 3"
HGNC:17265	ABI3BP		NESHBP, DKFZP586L2024, TARSH	3q12.2	AB056106	"target of Nesh-SH3"	"ABI family, member 3 (NESH) binding protein"
HGNC:1364	ABITRAM	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	9q31.3	BC015795		"chromosome 9 open reading frame 6", "family with sequence similarity 206, member A", "family with sequence similarity 206 member A"
HGNC:39851	ABITRAMP1	FAM206BP		13q14.13			"family with sequence similarity 206, member B, pseudogene", "family with sequence similarity 206 member B, pseudogene"
HGNC:76	ABL1	ABL	JTK7, c-ABL, p150	9q34.12	M14752		"v-abl Abelson murine leukemia viral oncogene homolog 1", "c-abl oncogene 1, receptor tyrosine kinase", "c-abl oncogene 1, non-receptor tyrosine kinase"
HGNC:77	ABL2	ABLL	ARG	1q25.2	M14904	"Abelson-related gene"	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)", "v-abl Abelson murine leukemia viral oncogene homolog 2", "c-abl oncogene 2, non-receptor tyrosine kinase"
HGNC:78	ABLIM1	LIMAB1, ABLIM	abLIM, limatin	10q25.3	AF005654
HGNC:19195	ABLIM2		KIAA1808	4p16.1	AB058711		"actin binding LIM protein 2", "actin binding LIM protein family, member 2"
HGNC:29132	ABLIM3		KIAA0843	5q32	AB020650		"actin binding LIM protein family, member 3"
HGNC:79	ABO		A3GALNT, A3GALT1	9q34.2	AF134415		"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
HGNC:81	ABR		MDB	17p13.3	L19704		"active BCR-related gene", "ABR, RhoGEF and GTPase activating protein"
HGNC:55674	ABR-AS1			17p13.3
HGNC:30655	ABRA		STARS	8q23.1	AF503617	"striated muscle activator of Rho-dependent signaling"
HGNC:21230	ABRACL	C6orf115	PRO2013, HSPC280, Costars	6q24.1	BC014953		"chromosome 6 open reading frame 115"
HGNC:25829	ABRAXAS1	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	4q21.23	AK023676	"Abraxas protein"	"coiled-coil domain containing 98", "family with sequence similarity 175, member A", "family with sequence similarity 175 member A", "Abraxas 1, BRCA1 A complex subunit"
HGNC:28975	ABRAXAS2	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	10q26.13	D63877	"Abraxas brother"	"KIAA0157", "family with sequence similarity 175, member B", "family with sequence similarity 175 member B"
HGNC:17369	ABT1		Esf2	6p22.2	AB027258
HGNC:39557	ABT1P1			4q23
HGNC:18275	ABTB1		BPOZ, EF1ABP, Btb3, BTBD21	3q21.3	AB053324		"ankyrin repeat and BTB (POZ) domain containing 1"
HGNC:23842	ABTB2		DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863		"ankyrin repeat and BTB (POZ) domain containing 2"
HGNC:82	ACAA1			3p22.2	X14813	"peroxisomal 3-oxoacyl-Coenzyme A thiolase"	"acetyl-Coenzyme A acyltransferase 1"
HGNC:83	ACAA2		DSAEC	18q21.1	D16294	"mitochondrial 3-oxoacyl-Coenzyme A thiolase"	"acetyl-Coenzyme A acyltransferase 2"
HGNC:55880	ACAA2P1			Xp11.23
HGNC:84	ACACA	ACAC, ACC	ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1	17q12	U19822	"acetyl-CoA carboxylase 1"	"acetyl-Coenzyme A carboxylase alpha"
HGNC:85	ACACB		HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta	12q24.11	U89344	"acetyl-CoA carboxylase 2"	"acetyl-Coenzyme A carboxylase beta"
HGNC:86	ACAD
HGNC:87	ACAD8			11q25	AF126245	"isobutyryl-CoA dehydrogenase"	"acyl-Coenzyme A dehydrogenase family, member 8", "acyl-CoA dehydrogenase family, member 8"
HGNC:21497	ACAD9		NPD002, MGC14452	3q21.3	AF078854		"acyl-Coenzyme A dehydrogenase family, member 9", "acyl-CoA dehydrogenase family, member 9"
HGNC:56086	ACAD9-DT			3q21.3
HGNC:21597	ACAD10		MGC5601	12q24.12	AY323912		"acyl-Coenzyme A dehydrogenase family, member 10", "acyl-CoA dehydrogenase family, member 10"
HGNC:30211	ACAD11		FLJ12592	3q22.1	BC019607		"acyl-Coenzyme A dehydrogenase family, member 11", "acyl-CoA dehydrogenase family, member 11"
HGNC:88	ACADL		LCAD, ACAD4	2q34	M74096	"long-chain acyl-CoA dehydrogenase"	"acyl-Coenzyme A dehydrogenase, long chain"
HGNC:89	ACADM		MCAD, MCADH, ACAD1	1p31.1	M16827	"medium-chain acyl-CoA dehydrogenase"	"acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain"
HGNC:90	ACADS		SCAD, ACAD3	12q24.31	M26393		"acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain"
HGNC:91	ACADSB		SBCAD, ACAD7	10q26.13	U12778		"acyl-Coenzyme A dehydrogenase, short/branched chain"
HGNC:92	ACADVL		VLCAD, LCACD, ACAD6	17p13.1	BC012912		"acyl-Coenzyme A dehydrogenase, very long chain"
HGNC:319	ACAN	MSK16, CSPG1, AGC1	CSPGCP	15q26.1	M55172	"aggrecan proteoglycan"	"chondroitin sulfate proteoglycan 1", "aggrecan 1"
HGNC:16467	ACAP1	CENTB1	KIAA0050	17p13.1	D30758		"centaurin, beta 1"
HGNC:16469	ACAP2	CENTB2	KIAA0041, CNT-B2	3q29			"centaurin, beta 2"
HGNC:41426	ACAP2-IT1			3q29			"ACAP2 intronic transcript 1 (non-protein coding)"
HGNC:16754	ACAP3	CENTB5	KIAA1716	1p36.33	AF411981		"centaurin, beta 5"
HGNC:93	ACAT1	ACAT	THIL	11q22.3	D90228	"acetoacetyl Coenzyme A thiolase"	"acetyl-Coenzyme A acetyltransferase 1"
HGNC:94	ACAT2			6q25.3	AF356877	"acetoacetyl Coenzyme A thiolase", "Acetyl-CoA acetyltransferase, cytosolic"	"acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)", "acetyl-Coenzyme A acetyltransferase 2"
HGNC:15453	ACBD3	GOLPH1, GOCAP1	GCP60, PAP7	1q42.12	AB043587	"PBR- and PKA-associated protein 7"	"golgi complex associated protein 1, 60kDa", "acyl-Coenzyme A binding domain containing 3"
HGNC:40701	ACBD3-AS1		RP11-275I14.4	1q42.12	AW511419
